date,open,high,low,close,volume,amount,outstanding_share,turnover
2018-11-22,33.31,33.54,32.64,32.79,3385092.0,276492546.0,104198556.00000001,0.032486937726852946
2018-11-23,32.86,32.86,31.8,31.82,3963872.0,315958682.0,104198556.00000001,0.03804152525875694
2018-11-26,31.86,32.37,31.8,31.95,2183170.0,173851379.0,104198556.00000001,0.020952017799555685
2018-11-27,32.13,32.36,30.94,31.56,3381697.0,264865237.0,104198556.00000001,0.03245435570143601
2018-11-28,31.62,32.39,31.47,32.31,3236660.0,257725527.0,104198556.00000001,0.031062426623263372
2018-11-29,32.46,32.96,32.12,32.12,3719665.0,300678580.0,104198556.00000001,0.03569785554417855
2018-11-30,31.99,32.26,31.74,32.12,2348617.0,186496397.0,104198556.00000001,0.022539822912709076
2018-12-03,33.02,34.02,32.94,33.91,6661286.0,554576029.0,104198556.00000001,0.0639287745983735
2018-12-04,33.83,34.58,33.67,34.51,5864408.0,498749281.0,104198556.00000001,0.05628108704308723
2018-12-05,34.15,34.58,33.75,34.35,4319801.0,367223450.0,104198556.00000001,0.04145739793169494
2018-12-06,34.03,34.03,32.02,32.22,8450127.0,691553869.0,104198556.00000001,0.0810963925450176
2018-12-07,32.22,32.5,31.75,32.26,3692315.0,294034863.0,104198556.00000001,0.03543537589906716
2018-12-10,31.78,32.57,31.67,31.95,2801916.0,223472870.0,104198556.00000001,0.02689016151049156
2018-12-11,32.09,32.57,32.07,32.38,2605451.0,209686550.0,104198556.00000001,0.025004674728889714
2018-12-12,32.58,32.7,32.2,32.48,2058024.0,165704380.0,104198556.00000001,0.01975098388119697
2018-12-13,32.46,32.73,31.77,32.43,3722766.0,299123119.0,104198556.00000001,0.035727616033373814
2018-12-14,32.38,32.41,31.62,31.67,4322530.0,344240272.0,104198556.00000001,0.04148358831383421
2018-12-17,31.68,31.98,31.26,31.57,2791769.0,218506848.0,104198556.00000001,0.026792780122595936
2018-12-18,31.4,31.94,31.37,31.83,1719777.0,135096903.0,104198556.00000001,0.016504806458162432
2018-12-19,31.89,31.98,30.85,31.06,2360298.0,183672928.0,104198556.00000001,0.022651926193679686
2018-12-20,31.11,31.2,30.49,30.87,2352793.0,179780869.0,104198556.00000001,0.022579900243531202
2018-12-21,30.75,30.83,29.8,30.49,3131709.0,234527696.0,104198556.00000001,0.030055205371560038
2018-12-24,30.32,31.01,30.04,30.73,1771808.0,135011138.0,104198556.00000001,0.017004151189964664
2018-12-25,30.4,30.87,29.8,30.73,2663283.0,200149857.0,104198556.00000001,0.025559692017229102
2018-12-26,30.61,30.87,30.2,30.48,1432810.0,108556290.0,104198556.00000001,0.01375076637338429
2018-12-27,30.89,31.09,30.1,30.13,2024909.0,153537311.0,104198556.00000001,0.019433177173779643
2018-12-28,30.08,30.36,29.91,30.15,1475273.0,110264157.0,104198556.00000001,0.014158286416176438
2019-01-02,30.32,30.32,28.82,28.97,2995920.0,217641273.0,104198556.00000001,0.028752029922564374
2019-01-03,29.0,29.22,28.62,28.84,1827752.0,131323627.0,104198556.00000001,0.017541049225288687
2019-01-04,28.51,29.46,28.39,29.24,2789282.0,200818285.0,104198556.00000001,0.02676891222945546
2019-01-07,29.4,29.41,28.75,29.08,2778517.0,200207241.0,104198556.00000001,0.026665599857257135
2019-01-08,29.08,29.08,28.6,28.81,2172878.0,155134848.0,104198556.00000001,0.02085324483767318
2019-01-09,28.81,29.52,28.81,29.06,2844373.0,206463856.0,104198556.00000001,0.027297623970911837
2019-01-10,29.04,29.4,28.92,29.13,1829637.0,132361166.0,104198556.00000001,0.017559139687118117
2019-01-11,29.08,29.18,28.72,29.15,1999017.0,143560530.0,104198556.00000001,0.019184690045032867
2019-01-14,29.2,29.2,28.82,28.82,1413876.0,101654505.0,104198556.00000001,0.01356905560188377
2019-01-15,28.82,29.27,28.72,29.15,2501612.0,179830356.0,104198556.00000001,0.024008125410106447
2019-01-16,29.15,29.39,28.93,29.21,2249812.0,163169650.0,104198556.00000001,0.02159158520392547
2019-01-17,29.4,30.04,29.32,29.56,3961920.0,292643464.0,104198556.00000001,0.03802279179377495
2019-01-18,29.56,30.33,29.56,30.25,4191591.0,312219264.0,104198556.00000001,0.04022695861543417
2019-01-21,30.29,31.45,30.27,31.35,5838148.0,451116611.0,104198556.00000001,0.056029068195532376
2019-01-22,31.41,31.41,30.43,30.64,3876299.0,296861263.0,104198556.00000001,0.03720108175011561
2019-01-23,30.44,30.76,30.33,30.48,1863501.0,141133207.0,104198556.00000001,0.017884134593957327
2019-01-24,30.5,31.08,30.35,30.87,2704533.0,206330266.0,104198556.00000001,0.025955570823841357
2019-01-25,30.87,31.26,30.69,30.76,2295206.0,176840230.0,104198556.00000001,0.02202723423537654
2019-01-28,30.76,30.96,29.69,29.99,3128954.0,235371278.0,104198556.00000001,0.03002876546580933
2019-01-29,29.87,30.19,29.35,30.01,2586828.0,191097918.0,104198556.00000001,0.0248259486436645
2019-01-30,30.0,31.05,29.98,30.75,3980710.0,302745658.0,104198556.00000001,0.03820312058835056
2019-01-31,30.89,30.93,29.75,30.42,3804091.0,286437942.0,104198556.00000001,0.03650809709877361
2019-02-01,30.81,31.21,30.61,31.09,3541885.0,272747794.0,104198556.00000001,0.03399168986564458
2019-02-11,31.05,32.13,30.65,31.83,3527201.0,277427569.0,104198556.00000001,0.033850766607552596
2019-02-12,31.86,32.79,31.83,32.42,5110043.0,411589762.0,104198556.00000001,0.04904139938369203
2019-02-13,32.29,32.77,32.06,32.61,4869291.0,392770324.0,104198556.00000001,0.04673088751824929
2019-02-14,32.58,33.87,32.26,33.59,6370497.0,527497633.0,104198556.00000001,0.061138054542713614
2019-02-15,33.38,33.57,32.93,32.99,3409279.0,280738081.0,104198556.00000001,0.032719061864926416
2019-02-18,33.15,34.33,33.15,34.31,5505816.0,463635128.0,104198556.00000001,0.05283965739410054
2019-02-19,34.31,35.38,33.76,34.11,6476832.0,556036430.0,104198556.00000001,0.062158558128195165
2019-02-20,34.12,34.43,33.57,33.83,4367114.0,368166866.0,104198556.00000001,0.04191146372508271
2019-02-21,33.53,34.05,33.03,33.15,4528409.0,377770393.0,104198556.00000001,0.043459421836901456
2019-02-22,33.02,34.37,32.99,34.35,4602024.0,388161565.0,104198556.00000001,0.04416590955444718
2019-02-25,34.28,35.8,34.07,35.74,7996177.0,695105623.0,104198556.00000001,0.07673980625988712
2019-02-26,35.73,36.77,35.04,35.27,6521075.0,580207647.0,104198556.00000001,0.062583160941309
2019-02-27,35.19,35.61,34.76,34.95,3803762.0,332200371.0,104198556.00000001,0.03650493966538269
2019-02-28,35.32,36.57,35.32,36.2,7297520.0,655263939.0,104198556.00000001,0.07003475172918902
2019-03-01,36.37,36.65,35.57,36.2,3517226.0,314808600.0,104198556.00000001,0.03375503591431727
2019-03-04,36.23,39.82,36.23,38.93,11354266.0,1084659164.0,104198556.00000001,0.10896759452213521
2019-03-05,38.25,40.27,38.13,40.01,7585344.0,743738427.0,104198556.00000001,0.07279701649608272
2019-03-06,39.95,40.92,39.02,39.58,5510301.0,542853450.0,104198556.00000001,0.052882700217074016
2019-03-07,39.47,39.47,37.62,38.41,7174361.0,684293440.0,104198556.00000001,0.06885278717298154
2019-03-08,37.33,38.86,37.0,37.68,5131226.0,481843039.0,104198556.00000001,0.049244693947582144
2019-03-11,39.27,39.29,38.08,38.8,4249560.0,407451833.0,104198556.00000001,0.04078329070126461
2019-03-12,38.8,39.34,38.04,38.56,5669217.0,544969811.0,104198556.00000001,0.054407826918445965
2019-03-13,38.66,39.11,37.74,38.06,4028567.0,385374801.0,104198556.00000001,0.03866240718345463
2019-03-14,37.7,37.86,36.53,37.19,4670839.0,429899372.0,104198556.00000001,0.0448263313744962
2019-03-15,37.19,38.66,37.15,37.72,4402504.0,415803010.0,104198556.00000001,0.04225110374850108
2019-03-18,38.08,39.14,37.95,39.05,4748584.0,457412518.0,104198556.00000001,0.04557245495801304
2019-03-19,39.17,39.8,38.62,39.26,3887635.0,376719037.0,104198556.00000001,0.03730987404470364
2019-03-20,38.87,38.87,37.53,37.94,5246708.0,496143910.0,104198556.00000001,0.05035298185898084
2019-03-21,38.1,38.25,37.6,37.99,3373982.0,317125225.0,104198556.00000001,0.032380314368272045
2019-03-22,37.98,39.01,37.81,39.01,5292350.0,506754552.0,104198556.00000001,0.05079101096180257
2019-03-25,39.22,39.72,37.7,37.72,7192719.0,690664937.0,104198556.00000001,0.06902897003678246
2019-03-26,37.72,38.01,35.36,36.03,6836940.0,622490041.0,104198556.00000001,0.06561453692314123
2019-03-27,36.24,36.89,36.24,36.39,4050382.0,367308333.0,104198556.00000001,0.038871767090515146
2019-03-28,36.25,36.93,35.72,36.41,3050767.0,276326344.0,104198556.00000001,0.029278399980898005
2019-03-29,36.65,37.82,36.41,37.79,5360286.0,495566668.0,104198556.00000001,0.05144299696437251
2019-04-01,38.09,38.46,37.64,38.28,6781282.0,640476253.0,104198556.00000001,0.06508038364754305
2019-04-02,38.33,39.05,37.7,37.86,5689586.0,540593027.0,104198556.00000001,0.0546033094738856
2019-04-03,37.68,38.22,37.45,37.95,3282901.0,308730711.0,104198556.00000001,0.03150620436621021
2019-04-04,37.95,38.18,37.05,37.5,5015230.0,465987214.0,104198556.00000001,0.048131473146326514
2019-04-08,37.81,37.81,36.81,37.16,4094454.0,378419397.0,104198556.00000001,0.03929472880603067
2019-04-09,37.17,38.0,37.08,37.89,4282436.0,400415695.0,104198556.00000001,0.041098803710869075
2019-04-10,38.06,39.57,38.02,39.31,8768652.0,846682677.0,104198556.00000001,0.08415329671171258
2019-04-11,39.32,39.55,38.07,38.21,4413813.0,421422553.0,104198556.00000001,0.04235963692241569
2019-04-12,38.12,39.07,37.99,38.76,3739399.0,359301160.0,104198556.00000001,0.035887243965261856
2019-04-15,39.42,39.42,37.46,37.46,4559980.0,432591617.0,104198556.00000001,0.04376241068062401
2019-04-16,37.39,37.91,36.9,37.82,3457767.0,321655387.0,104198556.00000001,0.0331844042061389
2019-04-17,37.97,38.21,37.61,37.83,2334563.0,219482745.0,104198556.00000001,0.022404945803663534
2019-04-18,37.45,37.78,37.25,37.43,1897959.0,176194285.0,104198556.00000001,0.01821483015561175
2019-04-19,37.62,37.88,37.29,37.43,2109968.0,196747657.0,104198556.00000001,0.020249493668607073
2019-04-22,37.52,37.57,36.85,36.97,2309529.0,212480373.0,104198556.00000001,0.022164692954094293
2019-04-23,36.66,36.99,35.83,35.94,4867826.0,437243220.0,104198556.00000001,0.04671682782245082
2019-04-24,35.94,36.07,35.05,35.8,4832614.0,425161783.0,104198556.00000001,0.046378896076064616
2019-04-25,35.81,36.4,35.38,35.48,2987691.0,266154733.0,104198556.00000001,0.02867305569954347
2019-04-26,35.46,36.07,35.24,35.56,2871169.0,254447123.0,104198556.00000001,0.02755478684368716
2019-04-29,35.52,36.27,35.47,36.24,3317831.0,295913023.0,104198556.00000001,0.031841429741118484
2019-04-30,35.76,35.76,35.14,35.65,3502778.0,308629168.0,104198556.00000001,0.03361637756285221
2019-05-06,32.09,34.03,32.09,32.56,7205878.0,589437432.0,104198556.00000001,0.06915525777535726
2019-05-07,32.62,32.98,32.22,32.56,3376569.0,273093939.0,104198556.00000001,0.03240514196761037
2019-05-08,32.2,32.7,32.02,32.22,3051802.0,244581227.0,718626073.0,0.0042467176110934125
2019-05-09,32.09,32.09,29.9,30.11,8421913.0,643175497.0,718626073.0,0.011719464846079972
